date,close
02-Jan-86,209.59
03-Jan-86,210.88
06-Jan-86,210.65
07-Jan-86,213.80
08-Jan-86,207.97
09-Jan-86,206.11
10-Jan-86,205.96
13-Jan-86,206.72
14-Jan-86,206.64
15-Jan-86,208.26
